Last_name,Name,Gender,Date_birth,Position,City,Address,Phone,Email
Терещенко,Ігнат,Male,1963-11-08,Кушнір,село Вараш,"провулок Палубна, буд. 172, Судова Вишня, 56548",+380 38 181-85-56,varvaraprymachenko@example.org
Теличенко,Максим,Male,2002-10-03,Зоолог,місто Прилуки,"узвіз Флотська, буд. 99 кв. 70, Гола Пристань, 35035",+380 88 439-49-63,rtaran@example.com
Даниленко,Прохір,Male,1950-03-08,Вчитель,хутір Новодружеськ,"провулок Проектний 5-й, буд. 0 кв. 112, Чортків, 48949",+380 (89) 243-31-54,iustynakovaliuk@example.com
Удовенко,Ярема,Male,1965-09-16,Архітектор,місто Золочів,"шосе Деревообробний 3-й, буд. 8 кв. 4, Сокиряни, 26138",683 62 78,zkovalenko@example.org
Філіпенко,Федір,Male,1953-05-19,Економіст,місто Тростянець,"провулок Вапняна, буд. 01, Нетішин, 46161",+380 53 449-76-61,franchuktetiana@example.net
Дрозденко,Галина,Female,1965-12-10,Електрослюсар,хутір Балта,"узвіз Бітумна, буд. 63 кв. 571, Чортків, 67087",044 275-11-53,karasalbert@example.net
Величко,Дмитро,Male,2005-01-14,Сантехнік,село Жидачів,"сквер Хаджибейський, буд. 601, Пологи, 04278",+380 (35) 440-99-67,valeriibatiuk@example.org
Ісаєнко,Роксолана,Female,1940-05-20,Фармацевт,хутір Кам'янка (Черкаська область),"провулок Вільгельма Габсбурга, буд. 133 кв. 777, Виноградів, 34410",796-74-48,priska33@example.net
Сіробаба,Тереза,Female,1944-05-16,Конструктор,місто Глухів,"узвіз Юннатів 2-й, буд. 8 кв. 471, Дебальцеве, 36899",060 619-87-44,vanchenkohordii@example.org
Цимбалюк,Надія,Female,1987-04-08,Каскадер,хутір Бахмач,"провулок Лінія 22-га, буд. 685 кв. 2, Алмазна, 09068",974-78-44,wmykhailiuk@example.com
Деркач,Сергій,Male,2001-10-27,Ботанік,хутір Дубно,"вулиця Штильова, буд. 53 кв. 2, Остер, 76106",049 106-51-59,mykytiukdanylo@example.com
Щириця,Тереза,Female,1976-09-25,Парфюмер,хутір Самбір,"площа Сумський, буд. 071 кв. 527, Сокологірськ, 66925",+380 (34) 971-43-52,dan23@example.com
Алексійчук,Левко,Male,1965-12-25,Няня,селище Костянтинівка,"сквер Водопровідний 1-й, буд. 4, Коростень, 22038",435-12-66,iteslia@example.com
Христенко,Єфрем,Male,1982-01-09,Перекладач,хутір Сокаль,"вулиця Довженка, буд. 582 кв. 655, Хоростків, 23738",+380 94 759-55-05,kashchenkolukian@example.net
Єрошенко,Максим,Male,1989-01-25,Програміст,хутір Золочів,"набережна Героїв оборони Одеси, буд. 79, Слов'янськ, 99151",106 83 19,anton02@example.org
Дергач,Семен,Male,1979-03-04,Стропальник,село Міусинськ,"площа 40-річчя оборони Одеси, буд. 6, Сорокине, 16916",006 652-13-03,oandriiovych@example.com
Архипенко,Зорян,Male,1949-06-30,Няня,хутір Бердянськ,"площа Заводська 4-та, буд. 36 кв. 7, Роздільна, 18836",522 23 75,vasylyna34@example.net
Акуленко,Зиновій,Male,1957-09-23,Музичний редактор,хутір Авдіївка,"провулок Вапняний 3-й, буд. 59, Сарни, 10090",036-15-83,shcherbakmariia@example.com
Короленко,Аврелій,Male,1983-06-29,Драматург,село Дружківка,"провулок Цесевича, буд. 21, Роздільна, 79193",299 35 34,rzasukha@example.net
Ісаєвич,Захар,Male,1991-10-29,Мікробіолог,селище Отаманівка,"сквер Бєлякова, буд. 60, Судова Вишня, 48395",071 167-51-71,gvasylechko@example.org
Ільєнко,Ганна,Female,1951-04-08,Візажист,село Сіверськодонецьк,"узвіз Морський 2-й, буд. 026, Ржищів, 56919",035-40-07,davydmatviienko@example.com
Чміль,Нестор,Male,1955-11-21,Фрілансер,місто Скадовськ,"сквер Злакова, буд. 709 кв. 53, Жашків, 88170",054 619 63 88,oabramenko@example.org
Худобʼяк,Марʼяна,Female,1962-03-02,Дерун,місто Бучач,"набережна Педагогічний, буд. 10, Довжанськ, 44222",793-50-71,kostiantynkanivets@example.net
Овсієнко,Охрім,Male,1977-07-02,Економіст,селище Ананьїв,"парк Базарна, буд. 637 кв. 317, Джанкой, 25421",+380 93 301 91 05,shvedchenkookseniia@example.com
Непорожній,Макар,Male,1941-03-17,Каскадер,селище Шумськ,"проспект Одеська, буд. 59 кв. 933, Чорнобиль, 19314",084 009 63 09,ostapiatsenko@example.org
Супруненко,Юстина,Female,1981-02-17,Пілот,місто Гайворон,"площа Павла Кравцова, буд. 171, Вуглегірськ, 58317",207 38 52,sviatoslavakylymnyk@example.org
Бабенко,Маруся,Female,1943-08-04,Гінеколог,місто Херсон,"провулок Івасюка Володимира, буд. 2 кв. 2, Копичинці, 07099",+380 83 219 77 34,aorlyk@example.org
Дурдинець,Тимофій,Male,1975-02-08,Електрослюсар,село Новоукраїнка,"набережна Йосипа Тимченка, буд. 62, Ясинувата, 22305",+380 09 131 15 52,ielyseibhydenko@example.org
Затовканюк,Віолетта,Female,1982-06-21,Соціолог,місто Бердянськ,"узвіз Артура Савельєва, буд. 634 кв. 528, Благовіщенське, 96579",+380 (94) 062-17-67,vasylhavryliuk@example.com
Цимбалюк,Ігор,Male,1954-09-16,Менеджер,хутір Біла Церква,"вулиця Лиманчик 2-й Лінія 8-ма, буд. 75, Збараж, 79255",426-85-75,anastasiiababych@example.com
Бабиченко,Пилип,Male,1999-06-11,Візажист,хутір Волочиськ,"шосе Стражеска Миколи, буд. 859 кв. 893, Ізяслав, 97148",243 91 83,vernyhorastanislav@example.net
Оробець,Сергій,Male,1959-03-15,Нотаріус,селище Пирятин,"сквер Юннатів 2-й, буд. 324, Новий Калинів, 93599",062 413 01 06,xbashpolchenko@example.com
Павленко,Яків,Male,1962-04-26,Петрограф,село Тячів,"площа Суднобудівний, буд. 776, Костопіль, 61949",041 853-88-76,hsamoilenko@example.org
Гузенко,Зорян,Male,1972-05-31,Паблік рилейшнз,місто Дніпро,"провулок Аеродромний 3-й, буд. 65, Кодима, 85807",+380 94 126 46 90,obandurka@example.com
Малик,Єлисей,Male,1988-05-30,Модельєр,місто Снятин,"шосе Хлібна гавань, буд. 63 кв. 326, Кривий Ріг, 62640",097 545-21-97,viktorusyk@example.com
Удовенко,Маруся,Female,1970-01-17,Мистецтвознавець,селище Бобринець,"площа Латвійський узвіз, буд. 174 кв. 39, Кривий Ріг, 35590",502 69 80,nosenkosvitlana@example.net
Верес,Марія,Female,1965-10-04,Круп'є,село Хотин,"площа Михайла Врубеля, буд. 14, Рожище, 94144",088 80 38,bshukhevych@example.com
Оробець,Зиновій,Male,1966-11-20,Стоматолог,місто Городенка,"шосе Ігоря Кисельова, буд. 740, Радехів, 29850",+380 (30) 317-90-90,artiushenkonestor@example.org
Черненко,Євген,Male,1953-02-12,Ді-джей,хутір Часів Яр,"площа Житомирський 4-й, буд. 20, Вараш, 77627",+380 62 725 40 36,ugalagan@example.net
Ященко,Вадим,Male,1976-09-06,Золотар,хутір Самбір,"парк Матроська Слободка , буд. 733 кв. 958, Заводське, 90898",058 315-56-21,viktoriiazabara@example.net
Артимович,Гордій,Male,1994-10-27,Мінералог,хутір Деражня,"шосе Трояндова, буд. 49, Міусинськ, 63725",079 972-60-92,okhrim17@example.net
Демʼяненко,Камілла,Female,1992-08-30,Мовознавець,хутір Тернівка,"проспект Круговий, буд. 386 кв. 82, Монастириська, 80528",817 47 72,iustymchornovil@example.org
Рудик,Едуард,Male,1987-11-15,Літературознавець,селище Тисмениця,"проспект Ватманський, буд. 4, Гадяч, 97306",389 84 18,violettademianchuk@example.net
Стельмах,Кирило,Male,1989-10-04,Менеджер,хутір Мар'їнка,"узвіз Яна Длугоша, буд. 8 кв. 20, Чугуїв, 16295",523-30-08,ionufriienko@example.com
Приймак,Захар,Male,1941-12-25,Графік,село Шостка,"вулиця Травневий 4-й, буд. 200, Куп'янськ, 69889",591-71-35,oleksa99@example.com
Чайка,Петро,Male,1972-07-20,Клавішник,селище Барвінкове,"сквер Єфімова, буд. 4 кв. 74, Стрий, 92790",+380 95 413-78-15,dzhadan@example.com
Чуприна,Станіслав,Male,1950-11-25,Редактор,село Комарно,"шосе Моторний 2-й, буд. 560 кв. 484, Кам'янець-Подільський, 14240",+380 (09) 912-81-84,spasruban@example.org
Тарасенко,Августин,Male,1972-02-07,Антрополог,хутір Рава-Руська,"набережна Студентський 5-й, буд. 07 кв. 206, Самбір, 87572",013 459-47-24,idavydenko@example.com
Калениченко,Хома,Male,2002-01-23,Ді-джей,село Ізяслав,"парк Хортицька, буд. 41, Ворожба, 62674",087 454-51-80,azar50@example.org
Аронець,Богуслав,Male,1947-08-22,Пілот,хутір Вишгород,"узвіз Лазурний 6-й, буд. 176, Кремінна, 25201",822-19-68,znesterenko@example.org
Терещенко,Веніямин,Male,2005-04-02,Прокурор,село Кам'янка-Дніпровська,"проспект Новиков міст, буд. 3 кв. 06, Вільнянськ, 33081",+380 41 871 38 41,lkharchenko@example.net
Прокопович,Аркадій,Male,1987-08-25,Ґрунтознавець,село Хмельницький,"вулиця Академіка Ясиновського, буд. 682 кв. 83, Нове Давидково, 65319",+380 84 253-36-32,iaroslavaieshchenko@example.net
Павличенко,Одарка,Female,1983-08-30,Слідчий,місто Балта,"площа Колонтаївська, буд. 65, Зіньків, 53207",+380 37 353-26-14,nnesterenko@example.org
Носаченко,Володимира,Female,1974-06-30,Ювелір,місто Трускавець,"набережна Петра Лещенка, буд. 9 кв. 12, Рава-Руська, 08077",+380 05 044-28-10,ytsiutsiura@example.net
Авраменко,Ганна,Female,1959-01-14,Професор,місто Жовква,"шосе Стовпова, буд. 2 кв. 24, Турка, 74378",872-60-24,ada16@example.org
Вдовенко,Борислав,Male,1991-11-22,Інженер,село Павлоград,"проспект Скляна, буд. 4 кв. 265, Бердичів, 44785",198 07 35,avhustyn33@example.org
Бабʼяк,Вʼячеслав,Male,1988-09-22,Фотограф,селище Білогірськ,"набережна Куликове поле, буд. 299, Кобеляки, 14258",+380 17 888-58-49,hryhorii84@example.org
Яременко,Аніта,Female,1981-08-18,Прокурор,хутір Авдіївка,"провулок Маковий, буд. 9, Луганськ, 90488",+380 27 776-36-28,erikabebeshko@example.org
Барабаш,Аніта,Female,1939-05-27,Етнограф,хутір Запоріжжя,"парк Деревообробний 3-й, буд. 00, Дніпро, 08129",247 28 82,huziivira@example.net
Іщенко,Мілена,Female,1988-11-03,Художник,селище Жидачів,"узвіз Героїв Зміїного, буд. 1, Горохів, 63806",+380 02 206 03 23,malyshkosemen@example.net
Рудик,Едита,Female,1997-06-27,Машиніст,місто Білицьке,"проспект Студентський 3-й, буд. 27, Берестин, 99318",052 473 61 82,ihavrylenko@example.net
Ґжицький,Іван,Male,1972-02-25,Ді-джей,місто Нова Каховка,"парк Нафтовиків 1-й, буд. 225 кв. 0, Голубівка, 79163",+380 79 075-94-27,hkovpak@example.org
Зінчук,Розалія,Female,1981-04-15,Ді-джей,хутір Семенівка,"шосе Творча, буд. 431, Генічеськ, 90179",+380 95 944-44-23,sviatoslava18@example.org
Захарченко,Віра,Female,2007-09-18,Ветеринар,хутір Богуслав,"шосе Олексія Косяченко, буд. 01, Заводське, 23309",061 452 89 81,dubasvitalii@example.com
Бабариченко,Пилип,Male,1941-01-29,Електромонтер,село Приморськ,"шосе Леся Курбаса, буд. 181 кв. 346, Роздільна, 84328",072 98 02,vyshniakdanna@example.org
Дробʼязко,Остап,Male,2001-06-29,Архітектор,хутір Здолбунів,"вулиця Литавровий, буд. 804, Моспине, 45822",+380 (73) 819-18-14,olifirenkoanastasiia@example.com
Медведенко,Опанас,Male,1973-01-26,Ветеринар,село Харцизьк,"площа Станційна 2-га, буд. 76 кв. 0, Мукачево, 42052",042 607-56-88,iefrem40@example.com
Швачко,Вʼячеслав,Male,2006-09-23,Стиліст,село Снігурівка,"вулиця Просвіти, буд. 9 кв. 911, Березань, 03128",055 828-31-77,ruslannikoliuk@example.net
Венгринович,Віктор,Male,1982-03-22,Сценарист,місто Буча,"площа Бориса Літвака, буд. 1 кв. 72, Бахмут, 63479",+380 (90) 610-32-29,iurchukokhrim@example.net
Гайворонська,Володимира,Female,1963-11-01,Паралегал,селище Інкерман,"шосе Сливова, буд. 522 кв. 22, Борислав, 06800",964 14 33,tereza43@example.org
Рябченко,Соломон,Male,1952-12-14,Машиніст,місто Косів,"провулок Чорноморський 9-й, буд. 119 кв. 5, Новгород-Сіверський, 59256",991 24 98,iryna51@example.org
Атаманчук,Марта,Female,1991-10-03,Водій,село Соснівка,"узвіз Юннатів 3-й, буд. 312, Харків, 27403",036 614-88-60,idemianchuk@example.org
Архимович,Альбіна,Female,2003-12-01,Інженер,місто Куп'янськ,"набережна Матроська Слободка , буд. 9 кв. 79, Ржищів, 12371",083 544 05 81,ppetryk@example.com
Канівець,Олег,Male,1948-04-29,Музикант,селище Яворів,"вулиця Танфільєва, буд. 22 кв. 151, Балаклія, 99330",833 43 95,albina19@example.net
Матяш,Юстим,Male,2002-01-16,Гірник,хутір Берегове,"площа Академічний, буд. 42 кв. 75, Хрестівка, 53328",+380 (80) 291-58-94,semen71@example.net
Матвієнко,Арсен,Male,1971-06-28,Шериф,хутір Жовті Води,"набережна Надії Пучковської, буд. 1 кв. 6, Калинівка, 79016",+380 98 578-34-59,tymchenkoillia@example.net
Вдовенко,Гліб,Male,1971-04-22,Електрик,село Алмазна,"вулиця Хімічний 1-й, буд. 48 кв. 74, Дрогобич, 94423",020 317-81-53,priska52@example.com
Ванченко,Федір,Male,1943-04-20,Громадський діяч,село Костянтинівка,"провулок Леся Курбаса, буд. 372 кв. 9, Мирноград, 39591",+380 48 995-00-81,kbaklan@example.net
Лесик,Орися,Female,1994-01-11,Співак,селище Глобине,"узвіз Болградська, буд. 33, Скалат, 46476",005 306 94 86,bgerega@example.com
Влох,Володимир,Male,1959-08-01,Епідеміолог,село Слов'янськ,"набережна Середня, буд. 73 кв. 6, Шептицький, 09272",062 90 85,cdzhus@example.org
Дашенко,Галина,Female,1940-03-16,Редактор,село П'ятихатки,"узвіз Геранієва, буд. 91 кв. 5, Амвросіївка, 62383",+380 (95) 820-69-47,qdubyna@example.org
Хмара,Марта,Female,1993-03-28,Астрофізик,місто Верхньодніпровськ,"сквер Кришталева, буд. 1, Антрацит, 60735",911-92-16,viktoriia46@example.net
Ющенко,Златослава,Female,2000-11-09,Електромонтер,селище Єнакієве,"набережна Верф’яний, буд. 451 кв. 90, Сокаль, 45830",379 64 78,davyd19@example.org
Рябовіл,Амалія,Female,1986-07-17,Музичний редактор,селище Самар,"набережна 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 3, Галич, 02753",068 24 83,okhrimtokar@example.com
Кабалюк,Миколай,Male,1977-03-06,Мистецтвознавець,село Олександрівськ,"парк Івасюка Володимира, буд. 56, Кагарлик, 17437",831-75-63,bevzenkoviacheslav@example.org
Тригуб,Єфрем,Male,1984-01-12,Гінеколог,хутір Мала Виска,"провулок Тараса Кузьміна, буд. 14, Красноперекопськ, 92904",+380 (72) 558-15-96,leonruban@example.net
Шевченко,Анжела,Female,1990-04-28,Живописець,місто Любомль,"проспект 14-та ст. Великого Фонтану пляж, буд. 3 кв. 55, Лисичанськ, 20222",081 827 00 44,alevtyndrobiazko@example.net
Левченко,Олесь,Male,1984-04-18,Дантист,село Батурин,"проспект Палубна, буд. 157, Кіцмань, 81749",+380 20 873-78-25,sbabiichuk@example.net
Байрак,Охрім,Male,1964-03-04,Промисловець,місто Щолкіне,"площа Балтський 2-й, буд. 571 кв. 46, Великі Мости, 64773",+380 37 984-81-81,snizhanatytarenko@example.org
Салій,Оксана,Female,2006-04-15,Футболіст,село Вуглегірськ,"вулиця Краснова, буд. 36 кв. 128, Сокиряни, 83777",+380 02 776 41 66,qchuiko@example.org
Тарасенко,Емілія,Female,1958-06-03,Клавішник,місто Інкерман,"площа Щоголєва, буд. 69 кв. 2, Антрацит, 14638",+380 34 706-70-49,antonbabiuk@example.org
Стець,Галина,Female,1985-08-05,Флорист,селище Багачеве,"провулок Немировича-Данченка, буд. 7 кв. 36, Кам'янка-Дніпровська, 26208",083 441-64-53,tsarenkovioletta@example.com
Баштан,Лілія,Female,1976-09-20,Водій,село Хуст,"парк Костанді, буд. 7 кв. 03, Ржищів, 74647",033 34 16,ilemeshko@example.net
Теліженко,Варвара,Female,1984-11-11,Громадський діяч,селище Кролевець,"парк Пересипський міст, буд. 9, Родинське, 69199",+380 (12) 709-96-67,panas59@example.com
Швачка,Єфрем,Male,1982-11-16,Піаніст,село Угнів,"набережна Дальній, буд. 4, Нововолинськ, 08644",+380 (96) 747-66-36,mazurrozaliia@example.com
Товстоліс,Пріска,Female,2005-08-18,Провізор,село Коростишів,"вулиця Князя Володимира Великого , буд. 03, Новомиргород, 06544",+380 85 807 01 07,adahavryshkevych@example.org
Аронець,Лілія,Female,1975-06-11,Намотувальник,хутір Оріхів,"набережна Леся Курбаса, буд. 52 кв. 70, Южноукраїнськ, 94928",+380 (11) 333-16-62,avrelii37@example.com
Чубай,Лукʼян,Male,2001-03-20,Музичний редактор,місто Тячів,"шосе Різовська, буд. 4, Пирятин, 61938",+380 64 556 44 67,mredko@example.org
Корбут,Данило,Male,1979-09-01,Візажист,селище Алушта,"узвіз Палубний, буд. 33, Яремче, 67246",004 266-02-55,halynaiaremenko@example.org
Ванченко,Богодар,Male,1984-12-01,Штукатур,місто Отаманівка,"проспект Сміливий, буд. 61 кв. 806, Пологи, 53668",+380 23 645-36-04,lbatih@example.org
Запорожець,Ірена,Female,1997-12-28,Педагог,хутір Сімферополь,"вулиця Літературна, буд. 0 кв. 04, Пирятин, 28036",+380 06 443-28-43,iustymshukhevych@example.org
Вишняк,Зорян,Male,1965-12-05,Маркетолог,селище Рожище,"шосе Грецька, буд. 289 кв. 15, Алчевськ, 43582",+380 67 287-29-56,slesyk@example.org
Петренко,Вадим,Male,1952-11-27,Інженер,хутір Вознесенськ,"проспект Вершинна, буд. 97, Андрушівка, 19005",035 60 28,antonilienko@example.org
Гайдабура,Петро,Male,2004-01-08,Штукатур,село Березівка,"парк Травневий 2-й, буд. 493 кв. 0, Бунге, 39563",162 95 78,iarynaaleksandrenko@example.com
Хомик,Федір,Male,2003-02-13,Дантист,хутір Ялта,"сквер Суперфосфатна, буд. 79, Чорнобиль, 17845",564-57-78,simashkevychmyron@example.org
Бабʼюк,Захар,Male,1999-02-05,Модельєр,село Верхньодніпровськ,"сквер 13-та ст. Великого Фонтану пляж, буд. 9, Очаків, 77232",+380 53 097-61-29,khomenkoliudmyla@example.org
Авдєєнко,Одарка,Female,1973-03-13,Геолог,село Горлівка,"набережна Острозька, буд. 077 кв. 67, Луганськ, 86274",+380 08 273-12-82,avramchukprokhir@example.com
Чубай,Альберт,Male,1976-06-27,Дипломат,селище Кам'янець-Подільський,"проспект Кедровий, буд. 988, Баштанка, 54229",069 450-48-69,veniiamyn34@example.com
Єрьоменко,Ада,Female,1950-03-19,Програміст,село Бердянськ,"набережна Новоселів, буд. 9, Іршава, 68594",+380 22 954-44-14,liashkoboleslav@example.org
Чуприна,Дмитро,Male,1958-01-02,Провізор,селище Липовець,"провулок Східчастий 3-й, буд. 2 кв. 278, Теребовля, 22437",+380 20 707-95-45,okhrimpetliura@example.net
Чубай,Валентин,Male,1979-02-04,Філолог,хутір Ланівці,"узвіз Висока, буд. 09 кв. 45, Берестин, 47064",095 163 25 78,oleksaruban@example.net
Вітер,Анжела,Female,1968-01-31,Кінолог,село Лиман,"шосе Аркадійська, буд. 351, Вільнянськ, 87540",079 565 23 16,prokopovychielysaveta@example.net
Вітер,Юстим,Male,1964-05-23,Електротехнік,хутір Тисмениця,"парк Донцова Дмитра, буд. 10, Надвірна, 69954",190-41-86,halyna11@example.com
Гаврюшенко,Ігнат,Male,1987-12-12,Астрофізик,село Мар'їнка,"проспект Марка Твена, буд. 5, Яремче, 92780",+380 33 142 23 50,ysaienko@example.org
Вертипорох,Єлисавета,Female,1950-10-29,Співак,хутір Гайворон,"узвіз Котляревського, буд. 3, Боярка, 36952",+380 53 000 41 01,tovstukhatrokhym@example.com
Теличенко,Богуслава,Female,1983-05-18,Намотувальник,селище Шепетівка,"шосе Бориса Нечерди, буд. 13, Кам'янка-Дніпровська, 66399",209-70-07,hcharnysh@example.net
Симоненко,Теодор,Male,1950-05-14,Публіцист,місто Тлумач,"шосе Сінна, буд. 25 кв. 0, Ірпінь, 74582",036 252 42 89,karmaliukiarema@example.com
Ісаєнко,Аніта,Female,1956-05-12,Мовознавець,місто Білогірськ,"провулок Балтський 7-й, буд. 188, Сімферополь, 81880",+380 (42) 722-11-69,valerii48@example.com
Бабак,Микита,Male,1944-12-29,Актор,хутір Горішні Плавні,"вулиця Аеропортівський 4-й, буд. 18, Донецьк, 54205",019 279 69 64,rubetsvasyl@example.net
Гайдабура,Валентин,Male,1981-10-06,Випробувач,хутір Курахове,"провулок 40-річчя оборони Одеси, буд. 6, Переяслав, 64673",053 110 95 08,utiahnybok@example.com
Жаліло,Геннадій,Male,1984-04-29,Шериф,хутір Селидове,"вулиця Ковиловий, буд. 57 кв. 852, Самар, 49089",+380 78 816 09 23,ielyseikomar@example.com
Цимбал,Лариса,Female,1948-09-13,Паблік рилейшнз,селище Волочиськ,"узвіз Уманська, буд. 14 кв. 28, Рубіжне, 62028",026 067-01-97,wandriievych@example.net
Примаченко,Лариса,Female,1957-02-24,Штукатур,хутір Заліщики,"шосе Генерала Алмазова, буд. 299, Тетіїв, 44509",717-87-31,arsenvdovenko@example.com
Скирда,Богуслав,Male,1999-12-16,Соціолог,хутір Обухів,"набережна Матроський узвіз, буд. 1, Білгород-Дністровський, 66035",+380 80 415-73-40,kdanchenko@example.org
Смик,Христина,Female,1995-11-04,Складальник,хутір Часів Яр,"проспект Пастера, буд. 147 кв. 602, Заводське, 71133",+380 53 337-49-25,nbaranyk@example.org
Джунь,Лесь,Male,1996-11-10,Ріелтор,селище Городенка,"провулок Вишнева, буд. 50, Белз, 95263",+380 71 090 95 27,obabak@example.org
Єрмоленко,Амалія,Female,1976-03-20,Випробувач,місто Звенигородка,"площа Хімічний 1-й, буд. 110 кв. 37, Новоукраїнка, 19419",283 29 56,okhrim41@example.com
Швачка,Пантелеймон,Male,1961-03-02,Бібліограф,селище Моспине,"вулиця Дмитра Сигаревича, буд. 9, Добромиль, 78609",007 172-08-96,alevtyn77@example.org
Бандера,Іван,Male,1944-01-27,Візажист,хутір Хмельницький,"вулиця Кордонний, буд. 9, Дубно, 61988",025 050 74 97,lbabiak@example.net
Ватаманюк,Сергій,Male,1972-06-20,Лікар,місто Барвінкове,"набережна Шоста, буд. 71 кв. 3, Ірпінь, 37245",+380 (63) 937-69-40,sviatoslav14@example.org
Жарко,Валентина,Female,1976-03-03,Детектив,село Олевськ,"проспект 14-та ст. Великого Фонтану пляж, буд. 025, Кам'янка (Черкаська область), 82787",+380 90 626-68-34,egalagan@example.net
Фартушняк,Зорян,Male,1972-11-15,Професор,селище Ананьїв,"площа Корнюшина, буд. 87, Острог, 25367",+380 19 540 41 95,sviatoslava63@example.com
Ващенко-Захарченко,Валентин,Male,1981-08-16,Пекар,селище Алупка,"узвіз Хімічний 2-й, буд. 66, Лохвиця, 07462",077 023 12 45,varvara58@example.com
Стельмах,Софія,Female,1992-06-20,Музикознавець,село Херсон,"вулиця Хутірська, буд. 97, Хмельницький, 02992",+380 (69) 116-07-09,okhrimsirko@example.com
Юрченко,Ліза,Female,1968-12-03,Палеонтолог,село Остер,"узвіз Кафедральна, буд. 363, Ровеньки, 83989",+380 (75) 637-94-96,liliia02@example.com
Іваненко,Леонід,Male,2004-04-19,Фрілансер,село Родинське,"проспект Восьмого березня 3-й, буд. 4, Радомишль, 03337",788-46-84,tymofiinestaiko@example.com
Архимович,Маруся,Female,1964-01-25,Електрослюсар,місто Лубни,"вулиця Томатна, буд. 914 кв. 7, Баштанка, 80969",082 555 70 09,boleslav13@example.net
Вертипорох,Охрім,Male,1948-11-29,Нотаріус,місто Хуст,"шосе 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 4 кв. 10, Миронівка, 40789",+380 72 620-92-32,borysshovkoplias@example.net
Іщенко,Вікторія,Female,1974-05-28,Секретар,хутір Богодухів,"площа Старопортофранківська, буд. 788, Довжанськ, 88708",061 007 66 00,zhukamvrosii@example.com
